State,Substate Region,12-17 Estimate,"12-17 
95% CI (Lower)","12-17 
95% CI (Upper)",18-25 Estimate,"18-25 
95% CI (Lower)","18-25 
95% CI (Upper)",26 or Older Estimate,26 or Older 95% CI (Lower),26 or Older 95% CI (Upper),18 or Older Estimate,18 or Older 95% CI (Lower),18 or Older 95% CI (Upper)
Indiana,Indiana,0.48%,0.29%,0.78%,3.62%,2.65%,4.94%,0.83%,0.56%,1.23%,1.25%,0.92%,1.71%
Indiana,Central,0.41%,0.23%,0.76%,3.66%,2.21%,5.98%,0.89%,0.50%,1.58%,1.28%,0.79%,2.07%
Indiana,East,*,*,*,3.51%,1.97%,6.17%,0.82%,0.43%,1.57%,1.25%,0.72%,2.17%
Indiana,North Central,*,*,*,3.35%,1.85%,5.99%,0.78%,0.40%,1.51%,1.15%,0.65%,2.04%
Indiana,Northeast,*,*,*,3.42%,1.89%,6.10%,0.87%,0.45%,1.66%,1.24%,0.70%,2.17%
Indiana,Northwest,*,*,*,3.60%,1.99%,6.40%,0.93%,0.48%,1.78%,1.30%,0.74%,2.29%
Indiana,Southeast,*,*,*,3.66%,2.00%,6.61%,0.72%,0.37%,1.40%,1.09%,0.61%,1.94%
Indiana,Southwest,*,*,*,3.34%,1.81%,6.08%,*,*,*,1.03%,0.58%,1.85%
Indiana,West,*,*,*,4.07%,2.32%,7.07%,0.85%,0.45%,1.61%,1.56%,0.92%,2.65%
Iowa,Iowa,0.47%,0.27%,0.84%,3.52%,2.54%,4.87%,0.68%,0.44%,1.06%,1.11%,0.80%,1.55%
Iowa,Central,*,*,*,3.94%,2.30%,6.67%,0.75%,0.39%,1.42%,1.20%,0.71%,2.03%
Iowa,North Central,*,*,*,3.37%,1.83%,6.12%,0.58%,0.29%,1.16%,1.11%,0.62%,1.97%
Iowa,Northeast,0.44%,0.23%,0.86%,3.88%,2.40%,6.23%,0.81%,0.45%,1.48%,1.28%,0.79%,2.06%
Iowa,Northwest,*,*,*,2.98%,1.65%,5.33%,0.56%,0.28%,1.12%,0.90%,0.50%,1.59%
Iowa,Southeast,0.45%,0.23%,0.85%,3.42%,1.93%,5.99%,0.66%,0.35%,1.25%,1.10%,0.64%,1.88%
Iowa,Southwest,*,*,*,3.07%,1.62%,5.74%,0.58%,0.29%,1.18%,0.90%,0.49%,1.65%
Kansas,Kansas,0.67%,0.42%,1.08%,3.64%,2.61%,5.06%,0.77%,0.51%,1.18%,1.22%,0.88%,1.68%
Kansas,Northeast,0.62%,0.36%,1.07%,3.64%,2.35%,5.59%,0.76%,0.44%,1.29%,1.22%,0.81%,1.85%
Kansas,Northwest and North Central,*,*,*,*,*,*,*,*,*,1.43%,0.77%,2.64%
Kansas,South Central,0.64%,0.36%,1.16%,3.28%,1.96%,5.44%,0.72%,0.41%,1.27%,1.10%,0.68%,1.75%
Kansas,Southeast,*,*,*,*,*,*,*,*,*,1.28%,0.69%,2.34%
Kansas,Southwest,*,*,*,*,*,*,*,*,*,1.36%,0.73%,2.49%
Kentucky,Kentucky,0.59%,0.37%,0.94%,4.57%,3.48%,5.99%,1.19%,0.82%,1.71%,1.67%,1.25%,2.22%
Kentucky,"Adanta, Cumberland River, and Lifeskills",0.73%,0.41%,1.30%,3.89%,2.25%,6.65%,1.13%,0.60%,2.08%,1.52%,0.89%,2.60%
Kentucky,"Bluegrass, Comprehend, and North Key",0.56%,0.32%,0.97%,5.06%,3.28%,7.74%,1.12%,0.68%,1.84%,1.71%,1.14%,2.56%
Kentucky,Centerstone,0.44%,0.24%,0.78%,5.30%,3.37%,8.25%,1.50%,0.89%,2.52%,2.01%,1.29%,3.12%
Kentucky,Communicare and River Valley,*,*,*,4.32%,2.38%,7.73%,1.13%,0.58%,2.19%,1.58%,0.88%,2.82%
